work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP423/2024-2025/133960,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP18144/2024-2025/148067,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,92.9,596.0,proactive
WS/MP18144/2024-2025/148063,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,92.9,596.0,proactive
WS/MP761/2026-2027/153935,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.9,639.0,proactive
WS/MP761/2026-2027/153936,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.9,639.0,proactive
WS/MP552/2024-2025/154852,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,92.9,635.0,proactive
WS/MP761/2025-2026/153970,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.8,639.0,proactive
WS/MP761/2024-2025/149047,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.8,670.0,proactive
WS/MP641/2025-2026/133920,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.7,468.0,proactive
WS/MP641/2025-2026/133921,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.7,475.0,proactive
WS/MP641/2024-2025/147737,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.7,514.0,proactive
WS/MP761/2024-2025/139028,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.6,674.0,proactive
WS/MP761/2025-2026/153927,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.6,639.0,proactive
WS/MP761/2026-2027/153972,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.6,639.0,proactive
WS/MP761/2025-2026/153980,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.6,639.0,proactive
WS/MP641/2025-2026/147758,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.5,498.0,proactive
WS/MP761/2024-2025/139053,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.5,674.0,proactive
WS/MP641/2025-2026/147761,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.5,498.0,proactive
WS/MP761/2024-2025/139056,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.4,674.0,proactive
WS/MP641/2025-2026/147756,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.3,498.0,proactive
,Dileshwar Kamait,Bihar,Monitor,MP + District Authority,92.2,715.0,proactive
WS/MP641/2024-2025/147668,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.2,570.0,proactive
WS/MP641/2024-2025/137266,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.1,674.0,proactive
WS/MP18019/2025-2026/143867,AMARSING TISSO,Assam,Monitor,MP + District Authority,92.1,506.0,proactive
WS/MP641/2024-2025/133912,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,92.1,670.0,proactive
WS/MP761/2025-2026/153965,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.1,639.0,proactive
WS/MP761/2025-2026/153961,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.1,639.0,proactive
WS/MP761/2024-2025/139055,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,92.0,674.0,proactive
WS/MP552/2024-2025/149116,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,92.0,669.0,proactive
WS/MP552/2024-2025/149114,Radha Mohan Singh,Bihar,Monitor,MP + District Authority,92.0,669.0,proactive
WS/MP761/2025-2026/153967,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,91.6,639.0,proactive
WS/MP761/2025-2026/153966,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,91.6,639.0,proactive
WS/MP18109/2024-2025/146900,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.4,572.0,proactive
WS/MP453/2025-2026/153908,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,91.4,639.0,proactive
WS/MP18109/2024-2025/146898,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.4,572.0,proactive
WS/MP18155/2024-2025/141700,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,91.4,699.0,proactive
WS/MP453/2025-2026/153915,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,91.4,639.0,proactive
WS/MP18109/2024-2025/146901,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.4,572.0,proactive
WS/MP18109/2024-2025/146906,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.4,572.0,proactive
WS/MP18155/2024-2025/141703,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,91.4,699.0,proactive
WS/MP18109/2024-2025/146905,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.4,572.0,proactive
WS/MP18155/2024-2025/141701,DR. RAJ KUMAR CHABBEWAL,Punjab,Monitor,MP + District Authority,91.3,699.0,proactive
WS/MP18069/2025-2026/150860,RAJEEV BHARDWAJ,Himachal Pradesh,Monitor,MP + District Authority,91.3,633.0,proactive
WS/MP598/2024-2025/151550,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,91.2,652.0,proactive
