Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
37,Normal/Others,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,17-Jul-2024,250000,11-Apr-2025,WS/MP577/2025-2026/133569,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-04-11,250000.0,Physical Inspection,268.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,499.0,268.0,0.0,3.0,1,1.3862943611198906,250000.0,100.0,1,1,68.4,35.9,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 499 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
38,Normal/Others,WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,17-Jul-2024,250000,11-Apr-2025,WS/MP577/2025-2026/133570,Providing drains and gutters for public drainage,250000.0,2024-07-17,2025-04-11,250000.0,Sanction,268.0,True,250000.0,56647.252801879105,state+category,0.0,1,,False,0,499.0,268.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,35.9,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 499 days (>1 year, no completion)",33,,0,False
39,Normal/Others,WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,17-Jul-2024,250000,11-Apr-2025,WS/MP577/2025-2026/133571,Providing drains and gutters for public drainage,250000.0,2024-07-17,2025-04-11,250000.0,Sanction,268.0,True,250000.0,56647.252801879105,state+category,0.0,1,,False,0,499.0,268.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,35.9,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 499 days (>1 year, no completion)",33,,0,False
40,Normal/Others,WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),katwara game hathila faliya ma  samuhik kuva nu kam,17-Jul-2024,245826,17-Oct-2025,WS/MP577/2025-2026/133572,Construction of public irrigation facilities,245826.0,2024-07-17,2025-10-17,245826.0,Sanction,457.0,True,292600.0,77250.25734479181,state+category,-0.6054866560668292,1,,False,0,310.0,457.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,4.1,68.0,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 310 days,33,,0,False
41,Normal/Others,"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,17-Jul-2024,245697,07-Oct-2025,WS/MP577/2025-2026/133573,"Construction of roads, link roads, pathways or any other road with or without drainage system",245697.0,2024-07-17,2025-10-07,245697.0,Sanction,447.0,True,300000.0,93217.39712910657,state+category,-0.5825414747934881,1,,False,0,320.0,447.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,64.6,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 320 days,33,,0,False
42,Normal/Others,"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),kathla game damar road thi parmar faliya sudhi c.c.road nu kam,17-Jul-2024,245697,07-Oct-2025,WS/MP577/2025-2026/133574,"Construction of roads, link roads, pathways or any other road with or without drainage system",245697.0,2024-07-17,2025-10-07,245697.0,Sanction,447.0,True,300000.0,93217.39712910657,state+category,-0.5825414747934881,1,,False,0,320.0,447.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,64.6,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 320 days,33,,0,False
43,Normal/Others,"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nalwai game chopadi faliya ma c.c.road nu kam,17-Jul-2024,250000,27-Mar-2025,WS/MP577/2024-2025/133575,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-03-27,250000.0,Work partially Completed,253.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,514.0,253.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.5,31.4,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",33,,0,False
44,Normal/Others,"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),garbada game kamliyavad faliyama c.c.road nu kam,17-Jul-2024,250000,27-Mar-2025,WS/MP577/2024-2025/133576,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-03-27,250000.0,Sanction,253.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,514.0,253.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.5,31.4,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",33,,0,False
45,Normal/Others,WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),lilar game mavi faliya ma  samuhik kuva nu kam,17-Jul-2024,245826,17-Oct-2025,WS/MP577/2025-2026/133577,Construction of public irrigation facilities,245826.0,2024-07-17,2025-10-17,245826.0,Sanction,457.0,True,292600.0,77250.25734479181,state+category,-0.6054866560668292,1,,False,0,310.0,457.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,4.1,68.0,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 310 days,33,,0,False
46,Normal/Others,"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,17-Jul-2024,250000,27-Mar-2025,WS/MP577/2024-2025/133578,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-03-27,250000.0,Sanction,253.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,514.0,253.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.5,31.4,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",33,,0,False
47,Normal/Others,"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bhutardi game bhuriya faliya ma c.c.road nu kam,17-Jul-2024,247496,04-Oct-2025,WS/MP577/2025-2026/133579,"Construction of roads, link roads, pathways or any other road with or without drainage system",247496.0,2024-07-17,2025-10-04,247496.0,Physical Inspection,444.0,True,300000.0,93217.39712910657,state+category,-0.5632425021188019,1,,False,0,323.0,444.0,0.0,1.0,1,0.6931471805599453,247496.0,100.0,1,1,68.6,64.0,Medium,Medium,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Sanctioned but stuck in execution for 323 days,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
48,Normal/Others,"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),minakyar game bilval faliya ma c.c.road nu kam,17-Jul-2024,247496,04-Oct-2025,WS/MP577/2025-2026/133580,"Construction of roads, link roads, pathways or any other road with or without drainage system",247496.0,2024-07-17,2025-10-04,247496.0,Sanction,444.0,True,300000.0,93217.39712910657,state+category,-0.5632425021188019,1,,False,0,323.0,444.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,64.0,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 323 days,33,,0,False
49,Normal/Others,"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),kharva game rasulbhaina ghar pase nikalti  sheri thi aanganvadi sudhi c.c.road nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133581,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2026-01-12,250000.0,Sanction,544.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,223.0,544.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.5,78.5,Low,High,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 223 days,33,,0,False
50,Normal/Others,WS/MP577/2025-2026/133582-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nelsur game aashram faliya ma saamuhik kuva nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133582,Construction of public irrigation facilities,250000.0,2024-07-17,2026-01-12,250000.0,Sanction,544.0,True,292600.0,77250.25734479181,state+category,-0.5514544736059974,1,,False,0,223.0,544.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.4,78.5,Low,High,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 223 days,33,,0,False
51,Normal/Others,WS/MP577/2025-2026/133583-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),ambli game khada faliya ma samuhik  kuva nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133583,Construction of public irrigation facilities,250000.0,2024-07-17,2026-01-12,250000.0,Sanction,544.0,True,292600.0,77250.25734479181,state+category,-0.5514544736059974,1,,False,0,223.0,544.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.4,78.5,Low,High,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 223 days,33,,0,False
52,Normal/Others,"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vajelav game sarpanch faliya ma c.c.road nu kam,17-Jul-2024,249291,27-Mar-2025,WS/MP577/2024-2025/133584,"Construction of roads, link roads, pathways or any other road with or without drainage system",249291.0,2024-07-17,2025-03-27,249291.0,Physical Inspection,253.0,True,300000.0,93217.39712910657,state+category,-0.5439864398891956,1,,False,0,514.0,253.0,0.0,1.0,1,0.6931471805599453,249291.0,100.0,1,1,68.3,31.4,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
53,Normal/Others,"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,17-Jul-2024,250000,27-Mar-2025,WS/MP577/2024-2025/133585,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-03-27,250000.0,Physical Inspection,253.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,514.0,253.0,0.0,1.0,1,0.6931471805599453,249291.0,99.71640000000001,1,1,68.2,31.4,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
54,Normal/Others,"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game indira nagari faliya ma c.c.road nu kam,17-Jul-2024,249291,27-Mar-2025,WS/MP577/2024-2025/133586,"Construction of roads, link roads, pathways or any other road with or without drainage system",249291.0,2024-07-17,2025-03-27,249291.0,Sanction,253.0,True,300000.0,93217.39712910657,state+category,-0.5439864398891956,1,,False,0,514.0,253.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.5,31.4,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",33,,0,False
55,Normal/Others,"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),zari burjarg game dungra faliya ma aanganvadi thi ramanbhai vanabhai na ghar sudhi c.c.road nu kam,17-Jul-2024,247496,04-Oct-2025,WS/MP577/2025-2026/133587,"Construction of roads, link roads, pathways or any other road with or without drainage system",247496.0,2024-07-17,2025-10-04,247496.0,Sanction,444.0,True,300000.0,93217.39712910657,state+category,-0.5632425021188019,1,,False,0,323.0,444.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.7,64.0,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 323 days,33,,0,False
56,Normal/Others,"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,17-Jul-2024,250000,27-Mar-2025,WS/MP577/2024-2025/133588,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2025-03-27,250000.0,Physical Inspection,253.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,514.0,253.0,0.0,4.0,1,1.6094379124341003,249291.0,99.71640000000001,1,1,70.9,31.4,High,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 514 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
57,Normal/Others,WS/MP577/2025-2026/133589-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),boriyala game divaniya faliya ma samuhik kuva nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133589,Construction of public irrigation facilities,250000.0,2024-07-17,2026-01-12,250000.0,Sanction,544.0,True,292600.0,77250.25734479181,state+category,-0.5514544736059974,1,,False,0,223.0,544.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.4,78.5,Low,High,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 223 days,33,,0,False
58,Normal/Others,WS/MP577/2025-2026/133590-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),patiya game simada faliya ma samuhik kuva nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133590,Construction of public irrigation facilities,250000.0,2024-07-17,2026-01-12,250000.0,Sanction,544.0,True,292600.0,77250.25734479181,state+category,-0.5514544736059974,1,,False,0,223.0,544.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.4,78.5,Low,High,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 223 days,33,,0,False
59,Normal/Others,"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,17-Jul-2024,250000,12-Jan-2026,WS/MP577/2025-2026/133591,"Construction of roads, link roads, pathways or any other road with or without drainage system",250000.0,2024-07-17,2026-01-12,250000.0,Physical Inspection,544.0,True,300000.0,93217.39712910657,state+category,-0.5363805634987828,1,,False,0,223.0,544.0,0.0,4.0,1,1.6094379124341003,248443.0,99.3772,1,1,70.9,78.5,High,High,99% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Sanctioned but stuck in execution for 223 days,67,"99% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
